SİYAH,259.4,22.1,119,13.4,413.9,816,1.870.650,DUSUK,96.3,13.8,,
TEREYAĞ SARISI,234.7,26.9,114.8,20.6,397,855,1.860.750,DUSUK,92.3,13.2,,
KOYU VİZON,136.5,19.2,95.2,10.2,261.1,556,1.214.900,DUSUK,60.7,8.7,,
ANTRASİT MELANJ,96.9,10.6,68,8.4,183.9,372,839.550,DUSUK,42.8,6.1,,
TOPLAM,2880.4,343.8,1941.6,258.8,5424.6,11283,25.043.300,,1261.5,180.8,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RAHAT DÖKÜMLÜ PANTOLON (2700 TL | 650 gr/adet),,,,,,,,,,,,
Renk,Beden,H1,H2,H3,H4,H5,MART SATIS,NISAN URETIM,KUMAS (kg),CIRO (TL),Gunluk Adet,Gunluk KG
GRİ MELANJ,XS-S,27,37,34,80,7,185,422,274.3,1139400,14.1,9.14
GRİ MELANJ,M-L,19,9,9,53,8,98,224,145.6,604800,7.5,4.85
GRİ MELANJ TOPLAM,,46,46,43,133,15,283,646,419.9,1744200,21.5,14
ACI KAHVE,XS-S,34,30,28,57,11,160,365,237.3,985500,12.2,7.91
ACI KAHVE,M-L,27,13,21,29,10,100,228,148.2,615600,7.6,4.94
ACI KAHVE TOPLAM,,61,43,49,86,21,260,593,385.5,1601100,19.8,12.85
MÜRDÜM,XS-S,20,22,22,47,11,122,279,181.4,753300,9.3,6.05
MÜRDÜM,M-L,18,15,14,31,4,82,187,121.6,504900,6.2,4.05
MÜRDÜM TOPLAM,,38,37,36,78,15,204,466,302.9,1258200,15.5,10.1
KIRMIZI,XS-S,17,22,21,45,7,112,256,166.4,691200,8.5,5.55
KIRMIZI,M-L,17,17,15,27,4,80,183,119,494100,6.1,3.96
KIRMIZI TOPLAM,,34,39,36,72,11,192,438,284.7,1182600,14.6,9.49
BEBE MAVİSİ,XS-S,9,13,7,71,13,113,258,167.7,696600,8.6,5.59
BEBE MAVİSİ,M-L,6,10,13,43,5,77,176,114.4,475200,5.9,3.81
BEBE MAVİSİ TOPLAM,,15,23,20,114,18,190,434,282.1,1171800,14.5,9.4
SİYAH,XS-S,28,14,20,36,10,108,247,160.6,666900,8.2,5.35
SİYAH,M-L,11,14,11,27,4,67,153,99.5,413100,5.1,3.31
SİYAH TOPLAM,,39,28,31,63,14,175,399,259.4,1077300,13.3,8.65
TAŞ,XS-S,17,20,13,44,9,103,235,152.8,634500,7.8,5.09
TAŞ,M-L,14,9,13,23,2,61,140,91,378000,4.7,3.03
TAŞ TOPLAM,,31,29,26,67,11,164,374,243.1,1009800,12.5,8.1
EKRU,XS-S,18,19,21,34,8,100,228,148.2,615600,7.6,4.94
EKRU,M-L,10,13,11,22,2,58,133,86.5,359100,4.4,2.88
EKRU TOPLAM,,28,32,32,56,10,158,361,234.7,974700,12,7.82
TEREYAĞ SARISI,XS-S,9,14,29,39,9,100,228,148.2,615600,7.6,4.94
TEREYAĞ SARISI,M-L,7,7,18,20,6,58,133,86.5,359100,4.4,2.88
TEREYAĞ SARISI TOPLAM,,16,21,47,59,15,158,361,234.7,974700,12,7.82
KOYU VİZON,XS-S,8,9,19,10,8,54,124,80.6,334800,4.1,2.69
KOYU VİZON,M-L,3,3,9,18,5,38,87,56.6,234900,2.9,1.89
KOYU VİZON TOPLAM,,11,12,28,28,13,92,210,136.5,567000,7,4.55
ANTRASİT MELANJ,XS-S,17,11,11,10,2,51,117,76.1,315900,3.9,2.54
ANTRASİT MELANJ,M-L,0,0,0,13,1,14,32,20.8,86400,1.1,0.69
ANTRASİT MELANJ TOPLAM,,17,11,11,23,3,65,149,96.9,402300,5,3.23
RAHAT DÖKÜMLÜ PANTOLON TOPLAM,,,,,,,1941,4426,2876.9,11950200,147.5,95.9
Beden Dagilimi: XS-S %62 (2755 ad / 1790.8 kg)  |  M-L %38 (1672 ad / 1086.8 kg)  |  ,,,,,,,,,,,,
,,,,,,,,,,,,
KALIN ASKILI ATLET (1150 TL | 105 gr/adet),,,,,,,,,,,,
Renk,Beden,H1,H2,H3,H4,H5,MART SATIS,NISAN URETIM,KUMAS (kg),CIRO (TL),Gunluk Adet,Gunluk KG
GRİ MELANJ,XS,6,13,11,15,3,48,110,11.6,126500,3.7,0.39
GRİ MELANJ,S,7,6,12,42,3,70,160,16.8,184000,5.3,0.56
GRİ MELANJ,M,11,7,6,29,1,54,124,13,142600,4.1,0.43
GRİ MELANJ,L,3,4,5,27,3,42,96,10.1,110400,3.2,0.34
GRİ MELANJ TOPLAM,,27,30,34,113,10,214,488,51.2,561200,16.3,1.71
ACI KAHVE,XS,8,8,6,19,2,43,99,10.4,113850,3.3,0.35
ACI KAHVE,S,12,8,7,17,9,53,121,12.7,139150,4,0.42
ACI KAHVE,M,9,3,12,19,4,47,108,11.3,124200,3.6,0.38
ACI KAHVE,L,6,6,4,9,5,30,69,7.2,79350,2.3,0.24
ACI KAHVE TOPLAM,,35,25,29,64,20,173,395,41.5,454250,13.2,1.38
BEBE MAVİSİ,XS,2,4,2,32,6,46,105,11,120750,3.5,0.37
BEBE MAVİSİ,S,2,7,4,27,3,43,99,10.4,113850,3.3,0.35
BEBE MAVİSİ,M,5,5,4,26,3,43,99,10.4,113850,3.3,0.35
BEBE MAVİSİ,L,2,6,5,14,0,27,62,6.5,71300,2.1,0.22
BEBE MAVİSİ TOPLAM,,11,22,15,99,12,159,363,38.1,417450,12.1,1.27
MÜRDÜM,XS,6,6,10,14,2,38,87,9.1,100050,2.9,0.3
MÜRDÜM,S,11,5,9,13,3,41,94,9.9,108100,3.1,0.33
MÜRDÜM,M,8,7,4,21,2,42,96,10.1,110400,3.2,0.34
MÜRDÜM,L,5,4,4,9,3,25,57,6,65550,1.9,0.2
MÜRDÜM TOPLAM,,30,22,27,57,10,146,333,35,382950,11.1,1.17
KIRMIZI,XS,8,8,4,18,2,40,92,9.7,105800,3.1,0.32
KIRMIZI,S,3,10,8,15,4,40,92,9.7,105800,3.1,0.32
KIRMIZI,M,7,7,8,12,1,35,80,8.4,92000,2.7,0.28
KIRMIZI,L,3,7,5,13,2,30,69,7.2,79350,2.3,0.24
KIRMIZI TOPLAM,,21,32,25,58,9,145,331,34.8,380650,11,1.16
TAŞ,XS,7,4,5,17,5,38,87,9.1,100050,2.9,0.3
TAŞ,S,2,7,3,20,3,35,80,8.4,92000,2.7,0.28
TAŞ,M,10,5,8,17,1,41,94,9.9,108100,3.1,0.33
TAŞ,L,4,4,5,6,2,21,48,5,55200,1.6,0.17
TAŞ TOPLAM,,23,20,21,60,11,135,308,32.3,354200,10.3,1.08
EKRU,XS,8,5,11,11,3,38,87,9.1,100050,2.9,0.3
EKRU,S,6,10,7,18,1,42,96,10.1,110400,3.2,0.34
EKRU,M,4,7,6,13,2,32,73,7.7,83950,2.4,0.26
EKRU,L,5,2,6,8,1,22,51,5.4,58650,1.7,0.18
EKRU TOPLAM,,23,24,30,50,7,134,306,32.1,351900,10.2,1.07
TEREYAĞ SARISI,XS,4,4,13,9,2,32,73,7.7,83950,2.4,0.26
TEREYAĞ SARISI,S,1,4,8,18,3,34,78,8.2,89700,2.6,0.27
TEREYAĞ SARISI,M,2,2,8,14,3,29,67,7,77050,2.2,0.23
TEREYAĞ SARISI,L,1,4,4,4,4,17,39,4.1,44850,1.3,0.14
TEREYAĞ SARISI TOPLAM,,8,14,33,45,12,112,256,26.9,294400,8.5,0.9
SİYAH,XS,4,2,6,6,1,19,44,4.6,50600,1.5,0.15
SİYAH,S,4,4,5,8,1,22,51,5.4,58650,1.7,0.18
SİYAH,M,3,3,3,12,1,22,51,5.4,58650,1.7,0.18
SİYAH,L,5,9,4,10,1,29,67,7,77050,2.2,0.23
SİYAH TOPLAM,,16,18,18,36,4,92,210,22.1,241500,7,0.74
KOYU VİZON,XS,3,3,10,5,4,25,57,6,65550,1.9,0.2
KOYU VİZON,S,0,4,6,5,2,17,39,4.1,44850,1.3,0.14
KOYU VİZON,M,1,2,5,11,3,22,51,5.4,58650,1.7,0.18
KOYU VİZON,L,2,1,1,9,3,16,37,3.9,42550,1.2,0.13
KOYU VİZON TOPLAM,,6,10,22,30,12,80,183,19.2,210450,6.1,0.64
ANTRASİT MELANJ,XS,6,3,1,2,0,12,28,2.9,32200,0.9,0.1
ANTRASİT MELANJ,S,4,3,5,5,1,18,42,4.4,48300,1.4,0.15
ANTRASİT MELANJ,M,1,0,0,2,0,3,7,0.7,8050,0.2,0.02
ANTRASİT MELANJ,L,1,1,0,8,1,11,26,2.7,29900,0.9,0.09
ANTRASİT MELANJ TOPLAM,,12,7,6,17,2,44,101,10.6,116150,3.4,0.35
KALIN ASKILI ATLET TOPLAM,,,,,,,1434,3270,343.4,3760500,109,11.45
Beden Dagilimi: XS %26 (865 ad / 90.8 kg)  |  S %29 (947 ad / 99.4 kg)  |  M %26 (844 ad / 88.6 kg)  |  L %19 (616 ad / 64.7 kg)  |  ,,,,,,,,,,,,
,,,,,,,,,,,,
KEMERLİ KOMBİNE UZUN KİMONO (3200 TL | 850 gr/adet),,,,,,,,,,,,
Renk,Beden,H1,H2,H3,H4,H5,MART SATIS,NISAN URETIM,KUMAS (kg),CIRO (TL),Gunluk Adet,Gunluk KG
ACI KAHVE,STANDART,30,18,22,54,11,135,308,261.8,985600,10.3,8.73
ACI KAHVE TOPLAM,,30,18,22,54,11,135,308,261.8,985600,10.3,8.73
MÜRDÜM,STANDART,31,24,19,47,6,127,290,246.5,928000,9.7,8.22
MÜRDÜM TOPLAM,,31,24,19,47,6,127,290,246.5,928000,9.7,8.22
GRİ MELANJ,STANDART,18,17,18,65,7,125,285,242.3,912000,9.5,8.07
GRİ MELANJ TOPLAM,,18,17,18,65,7,125,285,242.3,912000,9.5,8.07
KIRMIZI,STANDART,15,19,15,49,6,104,238,202.3,761600,7.9,6.74
KIRMIZI TOPLAM,,15,19,15,49,6,104,238,202.3,761600,7.9,6.74
TAŞ,STANDART,14,12,17,54,6,103,235,199.8,752000,7.8,6.66
TAŞ TOPLAM,,14,12,17,54,6,103,235,199.8,752000,7.8,6.66
EKRU,STANDART,10,19,22,47,4,102,233,198.1,745600,7.8,6.6
EKRU TOPLAM,,10,19,22,47,4,102,233,198.1,745600,7.8,6.6
BEBE MAVİSİ,STANDART,7,12,7,66,8,100,228,193.8,729600,7.6,6.46
BEBE MAVİSİ TOPLAM,,7,12,7,66,8,100,228,193.8,729600,7.6,6.46
SİYAH,STANDART,13,9,17,21,1,61,140,119,448000,4.7,3.97
SİYAH TOPLAM,,13,9,17,21,1,61,140,119,448000,4.7,3.97
TEREYAĞ SARISI,STANDART,2,6,21,24,6,59,135,114.8,432000,4.5,3.83
TEREYAĞ SARISI TOPLAM,,2,6,21,24,6,59,135,114.8,432000,4.5,3.83
KOYU VİZON,STANDART,1,7,15,18,8,49,112,95.2,358400,3.7,3.17
KOYU VİZON TOPLAM,,1,7,15,18,8,49,112,95.2,358400,3.7,3.17
ANTRASİT MELANJ,STANDART,3,2,5,22,3,35,80,68,256000,2.7,2.27
ANTRASİT MELANJ TOPLAM,,3,2,5,22,3,35,80,68,256000,2.7,2.27
KEMERLİ KOMBİNE UZUN KİMONO TOPLAM,,,,,,,1000,2280,1938,7296000,76,64.6
Beden Dagilimi: STANDART %100 (2280 ad / 1938 kg)  |  ,,,,,,,,,,,,
,,,,,,,,,,,,
FIT KESIM UZUN KOLLU T-SHIRT (1550 TL | 200 gr/adet),,,,,,,,,,,,
Renk,Beden,H1,H2,H3,H4,H5,MART SATIS,NISAN URETIM,KUMAS (kg),CIRO (TL),Gunluk Adet,Gunluk KG
ACI KAHVE,XS,3,6,4,9,1,23,53,10.6,82150,1.8,0.35
ACI KAHVE,S,7,5,7,8,1,28,64,12.8,99200,2.1,0.43
ACI KAHVE,M,14,7,2,3,0,26,60,12,93000,2,0.4
ACI KAHVE,L,3,0,3,5,2,13,30,6,46500,1,0.2
ACI KAHVE TOPLAM,,27,18,16,25,4,90,206,41.2,319300,6.9,1.37
GRİ MELANJ,XS,2,5,4,3,3,17,39,7.8,60450,1.3,0.26
GRİ MELANJ,S,3,5,7,7,1,23,53,10.6,82150,1.8,0.35
GRİ MELANJ,M,4,7,5,8,1,25,57,11.4,88350,1.9,0.38
GRİ MELANJ,L,4,4,0,6,0,14,32,6.4,49600,1.1,0.21
GRİ MELANJ TOPLAM,,13,21,16,24,5,79,181,36.2,280550,6,1.21
MÜRDÜM,XS,3,7,4,4,3,21,48,9.6,74400,1.6,0.32
MÜRDÜM,S,4,4,4,9,2,23,53,10.6,82150,1.8,0.35
MÜRDÜM,M,2,3,2,5,0,12,28,5.6,43400,0.9,0.19
MÜRDÜM,L,3,3,2,6,1,15,35,7,54250,1.2,0.23
MÜRDÜM TOPLAM,,12,17,12,24,6,71,162,32.4,251100,5.4,1.08
BEBE MAVİSİ,XS,1,1,2,10,2,16,37,7.4,57350,1.2,0.25
BEBE MAVİSİ,S,2,0,3,14,4,23,53,10.6,82150,1.8,0.35
BEBE MAVİSİ,M,3,1,0,13,2,19,44,8.8,68200,1.5,0.29
BEBE MAVİSİ,L,0,1,1,8,1,11,26,5.2,40300,0.9,0.17
BEBE MAVİSİ TOPLAM,,6,3,6,45,9,69,158,31.6,244900,5.3,1.05
KIRMIZI,XS,2,3,2,3,0,10,23,4.6,35650,0.8,0.15
KIRMIZI,S,4,4,7,5,1,21,48,9.6,74400,1.6,0.32
KIRMIZI,M,3,2,2,3,1,11,26,5.2,40300,0.9,0.17
KIRMIZI,L,3,3,0,6,0,12,28,5.6,43400,0.9,0.19
KIRMIZI TOPLAM,,12,12,11,17,2,54,124,24.8,192200,4.1,0.83
TEREYAĞ SARISI,XS,2,0,0,2,1,5,12,2.4,18600,0.4,0.08
TEREYAĞ SARISI,S,4,0,2,3,1,10,23,4.6,35650,0.8,0.15
TEREYAĞ SARISI,M,3,5,2,5,3,18,42,8.4,65100,1.4,0.28
TEREYAĞ SARISI,L,0,1,7,3,1,12,28,5.6,43400,0.9,0.19
TEREYAĞ SARISI TOPLAM,,9,6,11,13,6,45,103,20.6,159650,3.4,0.69
TAŞ,XS,0,3,1,4,1,9,21,4.2,32550,0.7,0.14
TAŞ,S,1,0,1,6,0,8,19,3.8,29450,0.6,0.13
TAŞ,M,5,3,0,4,1,13,30,6,46500,1,0.2
TAŞ,L,3,4,4,3,0,14,32,6.4,49600,1.1,0.21
TAŞ TOPLAM,,9,10,6,17,2,44,101,20.2,156550,3.4,0.67
EKRU,XS,1,0,0,5,2,8,19,3.8,29450,0.6,0.13
EKRU,S,3,3,3,2,2,13,30,6,46500,1,0.2
EKRU,M,3,4,5,4,0,16,37,7.4,57350,1.2,0.25
EKRU,L,3,1,1,1,0,6,14,2.8,21700,0.5,0.09
EKRU TOPLAM,,10,8,9,12,4,43,99,19.8,153450,3.3,0.66
SİYAH,XS,2,0,0,0,2,4,10,2,15500,0.3,0.07
SİYAH,S,2,0,1,2,1,6,14,2.8,21700,0.5,0.09
SİYAH,M,4,0,0,1,2,7,16,3.2,24800,0.5,0.11
SİYAH,L,1,3,1,7,0,12,28,5.6,43400,0.9,0.19
SİYAH TOPLAM,,9,3,2,10,5,29,67,13.4,103850,2.2,0.45
KOYU VİZON,XS,3,0,1,2,0,6,14,2.8,21700,0.5,0.09
KOYU VİZON,S,0,0,3,2,1,6,14,2.8,21700,0.5,0.09
KOYU VİZON,M,2,1,3,1,1,8,19,3.8,29450,0.6,0.13
KOYU VİZON,L,0,0,1,1,0,2,5,1,7750,0.2,0.03
KOYU VİZON TOPLAM,,5,1,8,6,2,22,51,10.2,79050,1.7,0.34
ANTRASİT MELANJ,XS,2,0,0,2,1,5,12,2.4,18600,0.4,0.08
ANTRASİT MELANJ,S,2,1,0,2,0,5,12,2.4,18600,0.4,0.08
ANTRASİT MELANJ,M,3,1,2,1,0,7,16,3.2,24800,0.5,0.11
ANTRASİT MELANJ,L,0,0,0,1,0,1,3,0.6,4650,0.1,0.02
ANTRASİT MELANJ TOPLAM,,7,2,2,6,1,18,42,8.4,65100,1.4,0.28
FIT KESIM UZUN KOLLU T-SHIRT TOPLAM,,,,,,,564,1286,257.2,1993300,42.9,8.57
Beden Dagilimi: XS %22 (283 ad / 56.6 kg)  |  S %29 (379 ad / 75.8 kg)  |  M %29 (370 ad / 74 kg)  |  L %20 (256 ad / 51.2 kg)  |  ,,,,,,,,,,,,
,,,,,,,,,,,,
