
=== RAHAT DÖKÜMLÜ PANTOLON ===
Renk,Beden,H1 (1-7 Mar),H2 (8-14 Mar),H3 (15-21 Mar),H4 (22-28 Mar),H5 (29-31 Mar),MART TOPLAM,Haftalik Ort,Gunluk Ort,AYLIK x1.5 IHTIYAC
SİYAH,XS,2,0,0,0,2,4,0.9,0.13,6
SİYAH,S,2,0,1,2,1,6,1.4,0.2,9
SİYAH,M,4,0,0,1,2,7,1.6,0.23,11
SİYAH,L,1,3,1,7,0,12,2.8,0.4,18
SİYAH TOPLAM,TUM BEDENLER,9,3,2,10,5,29,6.7,0.97,44
KOYU VİZON,XS,3,0,1,2,0,6,1.4,0.2,9
KOYU VİZON,S,0,0,3,2,1,6,1.4,0.2,9
KOYU VİZON,M,2,1,3,1,1,8,1.9,0.27,12
KOYU VİZON,L,0,0,1,1,0,2,0.5,0.07,3
KOYU VİZON TOPLAM,TUM BEDENLER,5,1,8,6,2,22,5.1,0.73,33
ANTRASİT MELANJ,XS,2,0,0,2,1,5,1.2,0.17,8
ANTRASİT MELANJ,S,2,1,0,2,0,5,1.2,0.17,8
ANTRASİT MELANJ,M,3,1,2,1,0,7,1.6,0.23,11
ANTRASİT MELANJ,L,0,0,0,1,0,1,0.2,0.03,2
ANTRASİT MELANJ TOPLAM,TUM BEDENLER,7,2,2,6,1,18,4.2,0.6,27
EKRU MELANJ,XS,1,0,0,2,0,3,0.7,0.1,5
EKRU MELANJ,S,0,0,0,0,0,0,0,0,0
EKRU MELANJ,M,1,0,0,0,0,1,0.2,0.03,2
EKRU MELANJ,L,0,0,0,0,0,0,0,0,0
EKRU MELANJ TOPLAM,TUM BEDENLER,2,0,0,2,0,4,0.9,0.13,6
KÜL GRİ,XS,0,0,0,0,0,0,0,0,0
KÜL GRİ,S,2,0,1,0,0,3,0.7,0.1,5
KÜL GRİ,M,0,0,0,0,0,0,0,0,0
KÜL GRİ,L,0,0,0,0,0,0,0,0,0
KÜL GRİ TOPLAM,TUM BEDENLER,2,0,1,0,0,3,0.7,0.1,5
LIME,XS,0,1,0,1,0,2,0.5,0.07,3
LIME,S,0,0,0,1,0,1,0.2,0.03,2
LIME,M,0,0,0,0,0,0,0,0,0
LIME,L,0,0,0,0,0,0,0,0,0
LIME TOPLAM,TUM BEDENLER,0,1,0,2,0,3,0.7,0.1,5
ÇİKOLATA KAHVE,XS,2,0,0,0,0,2,0.5,0.07,3
ÇİKOLATA KAHVE,S,0,0,0,0,0,0,0,0,0
ÇİKOLATA KAHVE,M,0,0,0,0,0,0,0,0,0
ÇİKOLATA KAHVE,L,0,0,0,0,0,0,0,0,0
ÇİKOLATA KAHVE TOPLAM,TUM BEDENLER,2,0,0,0,0,2,0.5,0.07,3
LACİVERT,XS,0,0,0,1,0,1,0.2,0.03,2
LACİVERT,S,0,0,0,0,0,0,0,0,0
LACİVERT,M,1,0,0,0,0,1,0.2,0.03,2
LACİVERT,L,0,0,0,0,0,0,0,0,0
LACİVERT TOPLAM,TUM BEDENLER,1,0,0,1,0,2,0.5,0.07,3
BORDO,XS,0,0,0,0,0,0,0,0,0
BORDO,S,0,0,0,0,0,0,0,0,0
BORDO,M,0,0,0,1,0,1,0.2,0.03,2
BORDO,L,0,0,0,0,0,0,0,0,0
BORDO TOPLAM,TUM BEDENLER,0,0,0,1,0,1,0.2,0.03,2
YAĞ YEŞİLİ,XS,0,0,0,0,0,0,0,0,0
YAĞ YEŞİLİ,S,0,0,0,0,0,0,0,0,0
YAĞ YEŞİLİ,M,0,0,0,1,0,1,0.2,0.03,2
YAĞ YEŞİLİ,L,0,0,0,0,0,0,0,0,0
YAĞ YEŞİLİ TOPLAM,TUM BEDENLER,0,0,0,1,0,1,0.2,0.03,2
FIT KESIM UZUN KOLLU T-SHIRT GENEL TOPLAM,,126,102,100,206,45,579,134.7,19.3,869


=== RENK BAZLI TOPLAM KUMAS IHTIYACI (TUM URUNLER) ===
Renk,RAHAT DÖKÜMLÜ PANTOLON,KALIN ASKILI ATLET,KEMERLİ KOMBİNE UZUN KİMONO,FIT KESIM UZUN KOLLU T-SHIRT,TOPLAM AYLIK x1.5,Haftalik Trend
GRİ MELANJ,425,321,188,119,1052,YUKSELIS
ACI KAHVE,390,260,203,135,987,YUKSELIS
MÜRDÜM,305,218,189,107,818,YUKSELIS
BEBE MAVİSİ,287,239,150,104,779,YUKSELIS
KIRMIZI,288,218,156,81,743,YUKSELIS
TAŞ,246,203,155,66,669,YUKSELIS
EKRU,237,201,153,65,656,YUKSELIS
TEREYAĞ SARISI,236,168,89,66,558,YUKSELIS
SİYAH,263,138,92,44,536,YUKSELIS
KOYU VİZON,138,120,74,33,365,STABIL
ANTRASİT MELANJ,98,66,53,27,243,YUKSELIS
EKRU MELANJ,0,6,0,6,12,YUKSELIS
LIME,0,8,0,5,12,YUKSELIS
ÇİKOLATA KAHVE,0,8,0,3,11,YUKSELIS
LACİVERT,0,6,0,3,9,YUKSELIS
ORANGE,0,8,0,0,8,YUKSELIS
KÜL GRİ,0,2,0,5,6,DUSUS
YAĞ YEŞİLİ,0,3,0,2,5,DUSUS
BORDO,0,2,0,2,3,YUKSELIS
GENEL TOPLAM,2910,2190,1499,869,7467
